제목,연수 분야,시간,후기,별점,날짜,가격
"기초학력의 첫걸음, 수학교육",교과지도,15,좋은 강의였어요 고마워요.,5,2024-03-06,40000
"기초학력의 첫걸음, 수학교육",교과지도,15,수학과 관련한 기초학력 연수를 들었습니다. 수학을 싫어하는 아이들이 흥미를 가질 수 있도록 수업을 구성해야겠네요. 역시 교사에게 숙제가 남는 연수였습니다. 화이팅 해보아야겠어요!,5,2024-02-27,40000
"기초학력의 첫걸음, 수학교육",교과지도,15,"코로나 이후 기초학력에 대한 고민이 컸는데, 수학 교육에서의 고민들을 해결할 수 있을것 같습니다.",5,2024-02-19,40000
"기초학력의 첫걸음, 수학교육",교과지도,15,적절한 차시와 분량으로 수학 기초학력에 대한 다양한 교수학습 정보를 얻을 수 있었습니다.,5,2024-01-19,40000
"기초학력의 첫걸음, 수학교육",교과지도,15,"수학 부진의 경우, 학생의 어떤 점이 문제가 있는지 진단 및 판단부터 어려움이 있었는데 이 연수를 통해 수학의 3가지 성격(논리, 창의, 정확) 중 어디에 문제가 있는지 제대로 판단하고 그에 적절한 수업을 계획할 수 있어서 좋았습니다^^ (우리반 애 하나씩 어디에 속하는지 머리속으로 생각하게 되더라구요~) 또 정서적으로 문제가 있는 학생은 어떻게 지도해야하는지 다양한 예를 통해 자세하고 구체적으로 내용을 언급해주셔서 좋았습니다!",5,2024-01-08,40000
"기초학력의 첫걸음, 수학교육",교과지도,15,기초학력 부진때문에 고민이 많아 들었습니다. 감사합니다.,5,2023-12-18,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,"경력이 늘어날수록 오히려 디지털, 컴퓨터 관련 수업도구 활용 연수는 더 어려워져만 가네요. 정말 사소한 것도 모르는 가운데, 차근차근 설명해주셔서 너무 좋았습니다.",5,2024-06-10,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,배우면서도 정말 즐거웠던 연수였습니다. 쉽게 배워 쉽게 사용하는 아주 실용적인 연수였습니다! 강추,5,2024-06-08,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,강사님의 말씀대로 적당히 배워서 알차게 쓰기에 너무 좋은 내용들이 많아서 오랫만에 연수에 집중하며 잘 수강했습니다.^^ 좋은 연수 감사합니다.,5,2024-05-21,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,컴퓨터 활용 연수 핵심을 콕콕~재미있고 유익했습니다.,5,2024-05-20,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,우선 강의가 재미있고 유익했습니다. 하지만 5년전 내용이라 현재와 맞지 않는 부분이 많습니다. 컴퓨터관련 연수인데 최신 내용으로 바꾸어야하지 않을까요?,1,2024-05-08,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,교육의 변화를 알 수 있는 유익한 연수였습니다.,5,2024-04-30,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,다음에는 퇴직을 앞두고 있는 교사들을 대상으로 한 유용한 경제 연수를 부탁드립니다.,5,2024-04-25,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,강사님의 차분한 어조로 이해하기 쉽게 설명해 주셔서 지적 욕구가 생겨나는 연수였습니다.,5,2024-04-22,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,3분 현직선생님들의 상세하고 활용도 높은 강의에 진심으로 감사드리며 반복 복습하여 온전히 알고 활용할 계획입니다. 유익했습니다.,5,2024-04-13,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,도움이 되었습니다. 추천합니다.,5,2024-02-04,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,한국어교원 자질 함양을 위한 내용을 계속적으로 반복할 수 있는 전략이 포함된 강의였음.,5,2024-01-25,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,컴퓨터 활용에 관한 연수로 이제 스마트한 업무 처리가 가능할 수 있을 것 같습니다. 유익한 연수 감사합니다.,5,2024-01-23,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,"다른 쌤들의 학습자료를 볼 때마다 이런 걸 어떻게 만들었을까 대단하다라고만 생각했는데 이번 연수를 통해 '나도 할 수 있는 거구나', '나도 해봐야겠다' 라는 자신감을 얻게 되어 큰 도움이 되었습니다. 아는만큼 보인다! 부족함이 느껴질 때마다 적극적으로 배우고 공부해야겠다고 마음 먹게 됩니다.",5,2024-01-15,40000
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",ICT,15,이렇게 다양한 플랫폼들이 있는지 몰랐네요. 사무직에서도 유용하게 쓸 수 있을 것 같습니다. 감사합니다.,5,2024-01-13,40000
"더 나은 교실, 더 나은 미래를 위한 ESG 교육",자기계발,15,"많이 들어봤으나, 차마 해보지 못하는 패들렛 연수를 처음 들어보면서, 너무 어렵게 느껴지지 않았고, 한번 해볼 수 있겠다는 생각이 들을 정도로 칱절히 잘 설명해주셔서 좋았음. 그리고 잘 못하면 멈춰놓고, 스스로 해볼수도 있으니 정말 좋았음.",5,2024-06-10,40000
"더 나은 교실, 더 나은 미래를 위한 ESG 교육",자기계발,15,연수를 통해 초기 문해력에 대해 생각해볼 수 있는 기회가 되었습니다.,5,2024-04-08,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,학교 현장에서도 평화와 통일 교육을 할 수 있겠다는 용기를 얻었습니다. 감사합니다.,5,2024-06-09,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,"이 연수를 통해 학생들에게 깨우침이 있는 통일 교육, 변화를 고려하는 통일 수업을 할 수 있는 역량을 기르게 되었습니다.",5,2024-04-16,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,연수 잘 들었습니다. 유익하고 즐거운 연수였습니다.,5,2024-04-03,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,점점 한반도 긴장이 고조되고 있는 상황이 무섭기만 합니다. 이런와중에 평화와 통일교육에 대한 생각을 다시한번 하게 되는 계기가 되었습니다,5,2024-04-02,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,생각하기 어려운 상황들을 잘 이해 시켜주었다. 상당히 필요한 이야기들로 구성된 좋은 연수였다,5,2024-04-02,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,우리나라의 평화와 통일을 위하여 알찬 내용이 되어 있습니다. 많은 선생님들께서 연수를 들으셔서 미래를 위한 학생들에게 좋은 학습내용을 알려 주십시오.,5,2024-04-02,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,"시대 변화, 요구에 따른 통일교육에 대하여 바르게 이해하고, 통일교육의 방향을 정립하여 학교교육에서 평화통일교육 적용 실천을 통해 학생들의 평화역량을 기르고자 하는데 도움이 되었습니다.",5,2024-04-02,40000
"민주시민의 길, 평화와 통일교육",학습지도,15,멀게 느껴지기도 하는 통일에 대한 생각도 다시 해보고 몰랐던 부분도 알아갈 수 있는 유익한 시간이었습니다~,5,2024-04-01,40000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,야나두 다른 강좌와 다르게 강사님의 강의가 정말정말 알차서 정지 버튼을 얼마나 많이 눌렀는지 모릅니다. 하나도 버릴게 없는 알차고 유용한 표현 많이 배웠습니다. 바로 원어민교사와의 대화에서 써먹기 좋았습니다. 감사합니다.,5,2024-06-09,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,연수 내용이 도움이 많이 되었어요. 정말 감사드립니다. ^^,5,2024-05-21,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,너무 유익했어요 감사합니다^^_,5,2024-05-17,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,"영어로 말하는 것에 두려움이 많았는데, 다양한 예시 대화문을 통하여 실제 미국 생활에서 사용할 수 있는 표현을 배우는데 유익하였습니다.",5,2024-05-08,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,"특히 이런 사람에게 추천! - 여행/유학 등 외국 생활을 앞두고 있는 사람 - 한국 주입식 영어에 특화된 사람! 독해는 잘해도 말은 안 나온다 하는 사람 - 딱딱한 문법, 단어 외기 영어는 싫다! 살이있는 영어를 배우고 싶다! 하는 사람 - 실생활에 바로 써먹을 수 잇는 영어 회화 초급 강의 - 영어 중급자에게는 표현 다듬기, 빠른 복습용 정리용으로 추천 * 현지에서 바로 써먹을 수 잇는 영어 표현 : 택시탈 때, 세탁소에서, 레스토랑에서, 핸드폰 유심을 구매할 때 등 구체적인 상황을 설정하고 필요한 표현을 알려줘요 * 변화해서 표현 활용해보기 : 변화를 주어 문장을 활용해봐요 * 쉐도잉으로 따라해보며 문장을 입에 익혀요 * 재미있고, 가볍고, 부담 없는 길이의 강의! 접근성 최고네요 결론 : 초급자에게 완전추천합니다~! 다른 편도 연수들을 의향있습니당!",5,2024-04-09,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,감히 엄두도 못냈었는데 하루 하루 연수를 받으면서 정말 한 달 살아보고 싶다는 용기를 가지게 되었습니다.,5,2024-02-11,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,생활 속 영어를 누구나 쉽게 말할 수 있도록 하는 영어 연수. 문법에 어긋나지 않고 직원이나 만나는 사람들에게 적당히 예의를 갖추어 대화할 수 있도록 도와주는 구문들이 있어 좋았습니다. 입에 붙을 수 있도록 반복 섀도잉하는 과정도요! ^^,5,2023-12-30,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,미국 현지 영어를 배우게 되어서 너무 좋았습니다. 학생들에게 알려 줄 수 있어서 다행이었구요. 정말 감사합니다.,5,2023-12-28,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,다양한 상황속에서 실제 쓰이는 언어 중심윽로 배워서 좋았습니다.,5,2023-12-22,75000
야나두 미국에서 한 달 살기- 현지 체험 편,어학,30,재미있는 연수 잘 들었습니다.,5,2023-12-18,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,일상생활에 필요한 회화를 편안하게 배울 수 있어서 좋았어요. 특히 강사님들의 따뜻함이 배어 있는 문법 강의가 좋았습니다. 감사합니다.,5,2024-06-09,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,실제 생활 속 영어를 접하고 싶으신 분께 추천합니다.,5,2024-05-01,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,책도 주시고 영어회화 능력 향상에 많은 도움이 되었습니다.,5,2024-04-12,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,하지원 감정수업 인생에 도움이 되는 수업입니다.,5,2024-04-08,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,상황별로 쓸만한 대화와 생생한 표현이 많구요. 저도 영어 쫌 하지만 ㅎㅎ 한글로 그런 상황에서 영어로 바로 나오도록 안보고 연습하는데 많은 도움이 되었어요 추천합니다!!,5,2024-03-30,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,감사합니다. 간단한 생활영어를 배우기 좋네요,5,2024-03-27,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,가볍게 재미있게 수강하는 연수로 생활영어에 도움이 될 것 같습니다.,5,2024-01-22,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,수준도 적당해서 좋고 실생활에서 자주 사용하는 문장들이라 넘 좋아요!!,5,2023-12-29,75000
야나두 미국에서 한 달 살기- 현지 생활 편,어학,30,유용한 연수였어요~ 시리즈가 있으면 다 듣고싶어요,5,2023-12-26,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,학급경영에 도움이 많이 되었어요. 복습겸 다시 들어보고 싶어요,5,2024-06-08,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,나에게 어울리는 색을 찾고 잘 맞는 스타일을 공부할 수 있었어요.,5,2024-06-03,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,"학급에서 유용하게 사용할 수 있고, 무엇보다 손쉽게 접근할 수 있어서 도움이 됩니다. 포인트만 쏙쏙~ 감사합니다.",5,2024-05-13,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,연수를 듣고 마음의 여유와 안정을 느낄 수 있어 좋았습니다.,5,2024-04-23,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,유익한 정보 많이 있네요,5,2024-04-21,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,스스로 차이를 만들어내는 교사가 되어 보겠습니다.^^,5,2024-04-07,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,중학교에서 담임을 한지 얼마 안 되서 학급지도가 많이 궁금했었어요. 연수를 보면서 자율에 대해 생각해보고 학급 지도 방법에 대해 생각해보게 됐습니다!!,5,2024-03-11,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,"그동안 제가 해 왔던 학급 운영 및 수업 방식을 되돌아 보고, 무엇이 문제인지 알게 되어 정말 다행이였던 연수였습니다. 감사합니다.",5,2024-01-20,75000
"차이를 만드는 교실 습관, 자율의 힘",학급경영,30,였습니다. 스스로 생각하고 참여하는 행동과 사고의 학습과 학습을 바탕으로한 습관의힘은 아이를 변화시킨다는것을 알게해주는 연수,5,2024-01-09,75000
독서지도사 양성과정 1,학습지도,30,"인공지능으로 생활의 변화가 오는 것은 어쩔 수 없는 시대적 상황이 되었는데, 교육자로서 인공지능을 어떻게 바라봐야 할 것인가는 많은 고민을 하게 된다. 이번 연수를 통해 인공지능에 대한 발전 방향과 한계, 그리고 노력들을 살펴보면서 교육이 해야할 역할도 마음에 정리하는 데에 도움이 되었다.",5,2024-06-08,85000
독서지도사 양성과정 1,학습지도,30,"늘 학생들에게 독서수업 및 글쓰기 지도를 하면서도 뭔가 내 자신이 부족하다는 느낌을 지울 수 없었는데, 이번 연수를 통하여 독서수업 준비를 어떻게 해야할지, 학생들에게 독서습관 및 독후활동을 어떻게 하면 재밌있게 할지, 독서토론 방법 등을 제대로 배울 수 있었던 시간이었던 것 같다.",5,2024-04-28,85000
독서지도사 양성과정 1,학습지도,30,심화해서 잘 연수하고 자격증까지 받았으면 좋겠습니다,5,2024-04-23,85000
독서지도사 양성과정 1,학습지도,30,유익한 연수였습니다. 감사합니다.,5,2024-04-08,85000
쏭내관과 함께하는 랜선궁궐기행,교과지도,15,저도 쏭내관의 궁궐기행 책을 읽고 가족들과 함께 궁궐답사를 다녀온 적이 있습니다. 이번에 다시 랜선 궁궐기행 연수를 들으니 그 때의 기억이 새록새록 나고 새롭게 복원된 건물들도 보고 싶다는 생각이 듭니다. 다른 연수에 비해 몰입감이 놓아서 연수를 듣다보면 시간이 정말 빨리 지나갑니다. 좋은 연수 감사합니다.,5,2024-06-07,40000
쏭내관과 함께하는 랜선궁궐기행,교과지도,15,도움이 되었습니다.,5,2024-05-23,40000
쏭내관과 함께하는 랜선궁궐기행,교과지도,15,좋은 연수 입니다.,5,2024-04-01,40000
"뭉크씨, 도파민 과잉입니다",자기계발,15,"현대인들이 경험하는 정신적, 감정적 문제들을 도파민과 관련지어 설명하며, 그 해결책을 제시합니다. 도파민은 우리 뇌에서 분비되는 신경전달물질로, 보상과 쾌락, 동기부여와 관련이 깊습니다. 현대 사회는 다양한 자극으로 인해 도파민 분비가 과도하게 이루어지는 경우가 많으며, 이는 여러 가지 부정적인 심리적 상태를 초래할 수 있습니다. ""뭉크씨, 도파민 과잉입니다""를 읽고 진행한 연수는 매우 유익한 경험이었습니다. 이 책을 통해 현대인들이 직면한 도파민 관련 문제를 이해하고, 이에 대처하는 방법을 배웠으며, 실생활에 적용할 수 있는 구체적인 해결책을 탐색하는 기회가 되었습니다.",5,2024-06-07,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,호르몬을 이해하게 되면서 나를 알게 되었어요. 나의 행동이나 생각들이 이런 호르몬 영향도 있었구나.. 생각하면서 학급의 아이들이나 타인을 이해할 수 있는 계기가 되었어요. 연수가 너무 좋아서 책도 구입해서 봤습니다^^,5,2024-06-05,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,아이들 그림을 보면 다양한 표현들이 나오는데 그것과 관련하여 심리를 이해할 수 있는 연수인 것 같습니다.,5,2024-05-20,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,정말 흥미롭고 도움이 되는 연수였어요. 멋진 작품과 함께 작가의 상태를 통해 의사샘이 진단해주는 연수 내용이 참 흥미로웠습니다.,5,2024-05-08,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,내분비학 의학교수가 사람들의 호르몬 분비를 유명 화가들의 그림을 함께 감상하며 얘기하고 인간의 심리를 이해해 보는 연수였다.,5,2024-04-28,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,명화를 통해 15가지 이상의 호르몬에 대해 알아봄으로써 삶의 질을 높이고 싶어서 연수를 신청하였습니다. 강사님의 차분한 목소리와 귀에 쏙쏙 들어오게 설명해주시는 강의에 평소에 알지 못했던 호르몬에 대해 알게되었습니다. 또한 명화를 재해석해볼 수 있는 기회가 되었습니다.,5,2024-04-16,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,"그림을 보는 또다른 관점을 보여주는 연수였어요. 처음 기대와는 달리 한 과에서만 분석하는 것이 조금 아쉽기만 했지만, 그 안애서도 다양한 사례를 보여주셔서 여전히 흥미로웠습니다. 연수를 한참 전에 받았는데도 여전히 주변에 소개해주고 있습니다.",5,2024-04-10,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,"하루하루 무감각해지고 스트레스가 쌓여가고 있는 차에 우연히 이 강의를 알게 되었다. 제목에 이끌려 호기심에 듣게 되었는데 강의를 들으면서 나의 이 모든 증상들이 단순히 스트레스만은 아님을 알게 되었다. 호르몬의 영향이 있다는 것을 알게 되면서 스스로의 문제라며 비관하던 모습에서 벗어나 긍정적인 생각을 하게 되었고, 호르몬에 도움이 되는 식생활을 찾아 보게 되었다. 생각이 바뀌면 삶의 질도 달라지는 법, 이 강의를 통해 각박하고 스트레스 가득한 생활에서 벗어나 단비를 만나길 바라며 이 강의를 강력 추천한다.",5,2024-04-07,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,재밌게 설명해주는 연수,5,2024-01-31,50000
"뭉크씨, 도파민 과잉입니다",자기계발,15,"호르몬에 대해 명화를 통해 설명해주는 재미있는 연수였습니다. 결론은 규칙적인 식사(건강한 먹거리로), 수면, 운동이었던 것 같습니다. 모두 알고 있지만 실천을 쉽지 않은.....^^",5,2024-01-17,50000
수업에 바로 써먹는 문해력 도구,학습지도,15,다양한 방법으로 문해력 향상에 도움이 되는 지도법을 알려주시는데 초등보다는 중등에 적합해 보임.,3,2024-06-06,50000
수업에 바로 써먹는 문해력 도구,학습지도,15,"초등에서 적용하기에 조금 어려운 부분도 있지만 국어, 사회 수업 등과 연계해서 활용할 수 있는 부분들이 있습니다. 잘 들었습니다.",5,2024-05-27,50000
수업에 바로 써먹는 문해력 도구,학습지도,15,수업활용 만점 연수입니다. 수업시 활용할 수 있는 양식을 제공해 주셔서 감사합니다. 한문이라 여러모로 유용할것같습니다.,5,2024-05-10,50000
친절한 차이티의 중국어 비밀과외 - 패턴,어학,15,외우기 힘든 한자도 알기쉽고 재미있게 알려주시고 지루하지 않게 차분하게 다양한 패턴을 알려주셔서 도움이 되었음.,5,2024-06-06,50000
친절한 차이티의 중국어 비밀과외 - 패턴,어학,15,중국어 문법이 항상 어려운데 패턴으로 아주 쉽게 설명해주셔서 좋았습니다. 중국어가 재미있어졌습니다.,5,2024-05-12,50000
친절한 차이티의 중국어 비밀과외 - 패턴,어학,15,한자를 기억하기 쉽게 설명해주시고 작문을 접근하기 쉽게 풀어내어 감동받았습니다. 기초를 공부하신 분들 이 연수로 패턴 대로 공부하시면 일취월장 하실 거에요. 적극 추천합니다.,5,2024-04-20,50000
친절한 차이티의 중국어 비밀과외 - 패턴,어학,15,매년 중국어 강의를 들었는데~ 이번 과정이 신설된 것 같아요. 강사 발음도 좋고 친절하게 잘 가르쳐 주시네요. 그동안 배웠던 중국어가 체계적으로 잘 정리되는 것 같아서 아주 만족합니다~^^,5,2024-04-12,50000
친절한 차이티의 중국어 비밀과외 - 기초,어학,15,이해하기 쉽게 하나하나 잘 알려주시는 중국어 초보자에게 도움이 되는 연수입니다.,5,2024-06-06,50000
친절한 차이티의 중국어 비밀과외 - 기초,어학,15,듣기만 하여도 배워지는 연수입니다,5,2024-05-23,50000
친절한 차이티의 중국어 비밀과외 - 기초,어학,15,중국어 독학하면서 교사 연수로 몇 개 들어봤는데 이렇게 자세한 설명으로 기초를 채워주는 연수는 처음이네요. 정말 기초 차근차근 배울 수 있고 중국어 공부하면서 필요한 내용을 자세하게 설명해줘서 너무 좋아요. 이어서 이 강좌 다음 연수인 패턴 연수도 이미 신청해놨어요. 이 분 그 다음 문법 강좌도 연수로 들을 수 있길 기대합니다.,5,2024-04-30,50000
친절한 차이티의 중국어 비밀과외 - 기초,어학,15,"친절한 차이티의 중국어 비밀과외-기초 편 듣고 너무너무 행복합니다. 듣고 들어도 더 듣고 싶어지는 강의였습니다. 어려운 중국어를 그렇게 친절하고 자상하게 가르쳐주시다니 놀랍습니다. 제가 한문 수업을 할 때 좀 더 한자 공부를 많이 하였다면 더욱 듣기 좋았을 것으로 생각되며, 앞으로도 중국어 정복을 위해 더 공부할 수 있도록 많은 콘텐츠 기대하겠습니다. 한어 수평고시(HSK)에 한 번 도전해보고자 하는 마음이 생기게 한 연수 정말정말 강추합니다~~~^^",5,2024-01-17,50000
친절한 차이티의 중국어 비밀과외 - 기초,어학,15,차이티 선생님이 자세하게 설명해 주셔서 중국어의 기초에 대해서 알게 되었어요. 학생들에 중국어의 기초에 대해서 알려 줄 수 있게 되어서 좋았어요.,5,2023-12-28,50000
4대폭력 예방교육,생활지도,4,현장중심의 교육이 인상적이었습니다.,5,2024-06-06,12000
4대폭력 예방교육,생활지도,4,어떠한 폭력이 정당화 될수 있을까? 정당방어가 폭력적이라면 정당방어가 성립될까? 폭력은 결코 정당화에 접근해서는 안됩니다. 공동체 생활에서의 근간은 배려와 소통 그리고 공감이라고 봅니다 당연 공동체 뿐만 아니라 개인간의 관계에서도 마찬가지 라고 봅니다,5,2024-06-03,12000
4대폭력 예방교육,생활지도,4,폭력에 대응 할 수 있는 가장 강력한 방법은 폭력이 무엇인지 그리고 그 폭력을 어떻게 피할 것인지 아는 것 입니다. 예방은 미리 방어 할 수 있다는 것입니다. 이 예방 교육을 통하여 우리 아이들과 모든 여성들 그리고 모든 약자들이 폭력의 위험에서 벗어나고 예방할 수 있는 방법을 배울 수 있고 또 폭력 바생시 그것으 지혜롭게 대처 할 수 있는 길을 분명히 보여줍니다.,5,2024-05-08,12000
4대폭력 예방교육,생활지도,4,"대중 매체를 통해 연일 보도되는 4대 폭력 기사들로 인해 관심이 가지 않던 분야인데...직무상 개념 정립도 새롭게하고 인지감수성도 나이가 들면서 적응하지 못하는 세대로 넘어가는 스스로를 반성하고, 새롭게 시작하자는 의미로 연수를 듣게 되었다. 생각지도 못했던 부분을 짚어주고 정확한 개념과 문제점등을 상세하게 설명하는 연수는 많은 도움이 되었고, 인지 감수성이 얼마나 중요한지를 다지는 계기가 되었다.",5,2024-03-22,12000
4대폭력 예방교육,생활지도,4,폭력없는 학교가 없고 오히려 점점 학교폭력이 늘어나고 있는 요즈음 교사로서 꼭 알아야 할 내용을 다시 한 번 정리할 수 있는 연수였습니다.,5,2024-01-16,12000
4대폭력 예방교육,생활지도,4,짧은이시간 법적연수 인정되어서 너무좋네요,5,2023-12-19,12000
아이들의 내면이 단단해지는 격려수업,생활지도,15,교사의 인정과 격려를 받으며 성장해가는 소중한 인격체들을 행복하고 건강하게 학교생활할 수 있도록 하기 위해서는 담임교사의 학생들을 대하는 태도와 노력이 중요하다는 것을 다시금 인식하며 여러가지 좋은 정보를 얻을 수 있어서 참 감사합니다. 교사의 역할이 중요한 만큼 부단히 고민하고 노력하는 교사로 거듭날 수 있도록 노력하겠습니다. 좋은 연수 감사 드립니다.^^,5,2024-06-05,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,"아이들에게 격려를 잘 해주려고 연수를 신청했습니다. 연수를 들으면서 저의 내면을 들여다보며 상처를 만져주고, 힐링되는 시간이었습니다. 감사합니다.",5,2024-06-05,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,이제야 듣게 된 게 아쉬워요. 교재 일부분이라도 적용하여 학생들을 위한 격려수업을 진행하과 싶습니다.,5,2024-06-01,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,일상생활에서 칭찬과 격려가 아이들의 내면 성장을 돕는데 좋다는것은 알고 있으나 이를 실천하기가 어렵다. 하지만 연수를 통해 아이들을 격려하는 수업에 대해 다시한번 다짐하게 되는 계기가 되었다.,5,2024-05-23,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,학급 운영에 도움이 많이 되네요.,5,2024-05-22,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,삶을 살아가면서 내면의 힘이 정말 중요하다는 것을 느낍니다. 잘 살아가는 게 중요한 게 아니라 넘어졌을 때 다시 일어날 수 있는 단단함을 키우는 방법을 배울 수 있었습니다.,5,2024-05-21,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,다양한 활동으로 구성되어 있다. 나는 교사라는 이유로 다른 사람을 격려하고 이해하는 활동들을 많이 한다. 이 연수를 들으면서 무엇보다 먼저 나를 격려하고 이해할 수 있는 활동을 해보게 되어 의미있었다.,4,2024-05-20,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,"사회적으로나 제도적으로 학생을 지도하는데 있어서 교사로서 다소 힘든 점이 많아진 요즘 지쳐있던 제 마음을 다시 환기시킬 수 있었습니다. 좀 더 거리를 두고자 노력했던 학생들을 좀 더 이해하는 마음을 갖고, 보다 긍정적으로 지도하고자 하는 마음을 다잡는 계기가 된 연수였습니다.^^ 아이들의 내면 뿐 아니라 교사의 내면도 단단해지고 동시에 아이들과의 관계 개선에도 도움이 되는 계기가 되었습니다. 연수를 잘 선택하여 듣고 실천해보고 싶은 활동이 대부분입니다. 감사합니다.",5,2024-05-16,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,아이들의 내면의 소리를 들을 수 있는 다양한 방법 및 현장에서 실제 적용해 보므로 격려를 통한 내적 친밀감을 형성할 수 있어 큰 도움이 되었습니다.,5,2024-05-09,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,"나와 상대방을 존중하고 배려하는 방법, 사람들과 긍정적인 관계를 형성하여 평화로운 학급을 운영하는 데 많은 도움이 될 것 같다.",5,2024-04-25,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,격려수업 연수 좋았습니다.,5,2024-03-17,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,새학기 학급 경영에 많은 도움이 되겠습니다.,5,2024-02-29,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,마음이 따뜻해지는 연수 였습니다. 학기초나 학기말에 이 연수에 나오는 것들을 활용한다면 좋겠다는 생각이 들었습니다. 학생들 뿐만 아니라 어른들도 내 자신을 돌아보는 계기가 될 것 같네요...감사합니다.,5,2024-02-25,50000
아이들의 내면이 단단해지는 격려수업,생활지도,15,잔잔하게 수업을 진행할 수 있으면 더 좋을 듯 합니다. 때로는 활동적인 것도 있지만 자신을 돋ㄹ아보는 수업으로 적극 추천합니다.^^,5,2024-01-25,50000
